Date,Title,Close
2017-12-28,ICICI cuts lending rate 07,170.800003
2017-12-19,A farm loan waiver bad news banks Ambit,178.75
2017-12-14,Here Tulsian bets metal stocks United India slashes lending rate 090Buy Mindtree Bajaj Auto sell Indiabulls Housing Gujral,169.600006
2017-12-13,Hindustan Zinc looks good like Prakash Gaba Like RIL Hindustan Zinc climb Rs 125 Prakash Gaba,167.800003
2017-12-12,Bulls Eye Buy Biocon Ashok Leyland Exide BoB,173.699997
2017-12-05,Bulls Eye Buy Britannia sell Bharat Forge JSW Energy,175.949997
2017-12-04,Buy India Union India Ashwani Gujral Credit cost expected 60 bps In FY17 IndusInd,173.199997
2017-12-01,Positive LIC Housing Finance SP Tulsian,171.5
2017-11-30,Buy SRF Punjab Bajaj Auto Ashwani Gujral Jubilant Food look good like DLF SRF Prakash Gaba Buy Manappuram Finance India Cements Havells PVR Gujral,176.100006
2017-11-21,provide technology platform pilot launch IPPB,186.300003
2017-11-08,Housing Finance raise Rs 1025 cr bond marketBuy Escorts PTC India Financial NHPC Century Ply Gujral,189.050003
2017-11-07,Average cost borrowing Q3 declined 638 Gilts,190.800003
2017-11-06,Buy Union IFB Industries BEML Ashwani Gujral,201.199997
2017-11-03,See slippages Rs 48K cr Q4 loan rate cut Q3 profit 4fold Rs 207cr slippages Rs 4800crPNB Q3 NII seen Rs 3931 cr slippages credit cost key,207.800003
2017-11-01,plans sell noncore assets shore capitalSell Punjab target Rs 100 ReligareBuy sell hold 7 stocks watch post Q3 results,198.899994
2017-10-30,Buy Punjab target Rs 185 Motilal OswalBuy Coffee Day Tata Comm sell Ashwani Gujral Buy sell hold 10 crucial stocks watch post Q3 results,203.949997
2017-10-26,Buy Punjab target Rs 177 Edelweiss,213.600006
2017-10-25,Here SP Tulsian positive PSU banks Buy Punjab target Rs 160 ICICI DirectBuy Punjab target Rs 174 KR Choksey,202.050003
2017-10-24,Ranganathan Mehta appointed NonOfficial Director IOB,138.199997
2017-10-13,Tulsian tells Why private banks could see consolidation soon LIC stalls listing UTI AMC,135
2017-10-11,Buy HCL Technologies Karnataka Mitessh Thakkar Bulls Eye Buy Wockhardt HCC Jet Siemens REC JSPL,131.699997
2017-10-09,IT ministry UIDAI ask banks move Aadhaar Pay March end,137.300003
2017-09-28,Tulsian tells Why pressure telecom margins continue LIC hold media briefing Q3 show first insurerBulls Eye Buy Bajaj Auto Ceat Adani Power Sun TV,130.75
2017-09-25,unions strike today cheque clearances may hitBulls Eye Buy Torrent Pharma GMDC sell IDBI,137.649994
2017-09-22,plans sale Rs 1800 crore bad loans ARC month,137.699997
2017-09-20,Tulsian tells Why one buy mkt investorIDBI acquires 3230 cr shares JPVL,144.800003
2017-09-18,raises Rs 1500 cr tierI capital via bondsBulls Eye Buy Bajaj Auto SCI Escorts Reliance Capital,144.75
2017-09-08,puts sale bad loans worth Rs 295 crLenders auction two Kingfisher Airlines properties today,137.850006
2017-08-31,disbursed Rs 157 cr 1476 farmers SHGs FY17 CEOPNB may sell 7 stake Housing Finance Q2FY18 Report,143.800003
2017-08-18,Bulls Eye Buy GSPL Havells Mastek UPL Yes,142.149994
2017-08-08,Punjab Updates appointment director Central Government,148.800003
2017-08-07,Sell State India Idea Cellular may head Rs 73 Rajat Bose,152.100006
2017-08-04,Sell Punjab India Cements Titan Company Ashwani Gujral,151.050003
2017-08-02,Punjab looks weak may test Rs 125 bullish Indo Count Industries Hemant Thukral,158.949997
2017-08-01,Punjab raises Rs 250 crore via debentures,157.5
2017-07-27,Punjab looks interesting State India may hit Rs 310 Mitessh Thakkar,154.149994
2017-07-26,Bulls Eye Buy LT India Cements BEML Natco Pharma,158.899994
2017-07-25,Bulls Eye Buy Godrej Industries Wockhardt Just Dial SPARC,162.949997
2017-07-18,Bulls Eye Buy JSW Steel Dredging Corp Sintex Jet,154.850006
