Date,Title,Close
2013-12-30,look good Sukhani 9 stocks pick 2013 A C ChoksiKumar bullish Jindal Steel BoB revises interest rates FCNRB depositsSee upside Siddharth Bhamre 6 trading bets fetch handsome returns,125.050003
2013-12-26,More upside seen Sukhani,125.480003
2013-12-19,CCI approves stake buy MetLife India InsurancePNB appoints statutory central auditors year 201213,115.980003
2013-12-18,acquires 30 stake Metlife company rebrandedPNB receives approvals acquire 30 stake Metlife India InsurancePunjab gains CLSA upgradeShort says Atul Badkar,117.940002
2013-12-16,FinMin asks banks review noncore operations,113.050003
2013-12-11,may test Rs 1050 next 12 months Bothra,119.230003
2013-12-03,Angel expects Yes Axis ICICI outperform,111.309998
2013-12-02,Banks asset quality concerns persist Q3FY13 resultsPrivate banks post healthy earnings growth Q3FY13,111.18
2013-11-29,IIFL bullish private banks ICICI Axis HDFC top picks,109.980003
2013-11-28,Go long says Sudarshan Sukhani,106.449997
2013-11-22,acquires 30 stake Metlife India InsurancePNB may slip Rs 870880 Anil Manghnani,103.339996
2013-11-21,raise Rs 1250 cr issuing preference share govtPNB issues equity capital preferential basis GoI,103.5
2013-11-19,Q3 results Jan 31 2013,109.790001
2013-11-14,Go short target Rs 836836 Thukral,104.169998
2013-11-13,submitts copy EGM notice BSE,101.010002
2013-11-08,Buy Punjab Sukhani,104.449997
2013-11-07,Buy BoB Sukhani Growth risks prompt RBI cut repo CRR 25bps,109.110001
2013-11-01,Q3 Analysts expect profit fall 4 YoY Rs 1102cr Punjab attractive bet says Sukhani Buy Baroda Sukhani,114.169998
2013-10-29,good investment bet says Dilip Bhat How play ICICI UBI post results Decline NPLs positive Quant Broking Invest long term perspective Sukhani Hope maintain NIM guidance 352 FY13 Punjab cuts base rate 25 basis pointsPNB revises base ratePNB thrills mkt posts 14 profit growth low provisions,100.599998
2013-10-28,Q3 results review Should switch PSU banks pvt revises interest rates FCNRB depositsSee upside says Sudarshan Sukhani Buy Punjab 900 Put around Rs 23 Sharma,95.980003
2013-10-25,Buy target Rs 1025 PLilladher,99.330002
2013-10-24,Baroda looks good Pramod Gubbi Metlife may hike stake JV post Insurance BillCheckout Tulsians view IFCI Jubilant Food BHEL,98.93
2013-10-18,Buy Punjab target Rs 1220 Motilal OswalBuy Punjab target Rs 1053 Angel BrokingPrefer Macquarie Capital,95.099998
2013-10-11,Punjab EGM March 04 2013Accumulate Punjab target Rs 975 KRChoksey,97.279999
