Date,news,Adj Close
2010-12-30,In interview CNBCTV18 Nagesh Pydah Punjab gave outlook upcoming quarter quarter gone,125.355797
2010-12-27,Emkay Global Financial Services come earning estimates Banking sector quarter ended March 2010 According research,124.50528
2010-12-20,Punjab support Rs 960 says Technical Analyst Ashwani Gujral,124.273315
2010-12-13,Kotak Mahindra may slip Rs 710711 says Anu Jain IIFL Private Wealth Management India Infoline,126.531044
2010-08-12,head upto Rs 1100 says Technical Analyst Ashwani Gujral,116.87123899999999
2010-07-12,Punjab announce Q4FY10 results According CNBCTV18 estiamates companys Q4 NII seen 2607 Rs 190653 cror,108.85061599999999
2010-11-30,Staterun IDBI asked Kingfisher Airlines repay loans worth Rs 900 crore latter failed stick repayment schedule,125.62898999999999
2010-11-29,Staterun Punjab said Wednesday buy stakes joint venture partners life insurance insurance broking,121.252693
2010-11-26,Borrowers wait longer know new base rate banks Big public sector banks like State India Bar,118.706299
2010-11-25,Ahead Reserve Indias RBI review monetary policy 27 July State India set base rate 75 reports CNBCTV1,122.020744
2010-11-24,After banks announced base rates worry street much pinch consumers pocket State India said,130.49496499999998
2010-11-19,target Rs 11401150 says Rahul Mohindar Viratechindia,132.582611
2010-11-15,IIFL bullish Punjab recommended buy rating stock target Rs 1246 July 9 2010 research report,137.469208
2010-11-11,Sharekhan come earning estimates banking sector quarter ended June 2010 According research firm Punjab B,139.113525
2010-10-28,Emkay Global Financial Services recommended accumulate rating Punjab target Rs 1100 July 22 2010 research repor,135.087753
2010-10-27,Motilal Oswal recommended buy rating Punjab target Rs 1225 July 23 2010 research reportPunjab target Rs 1120 says Shailesh Kadam PINC,137.989822
2010-10-25,SEInvestments Ltd announced Punjab enhanced Fund Based Limit Rs 300 million Rs 450 million sanctioned Term Lo,139.263031
2010-10-22,Suresh Mahadevan UBS Securities says BoB ICICI top picks,137.355789
2010-10-20,steady uptrend many months row registering positive gains month month It potential test around Rs 1345 levels Expect 2530 gains says Rajesh Jain Independent Market Strategist,133.65476999999998
2010-10-18,Pick Punjab Of Baroda BoB Of India within PSU space says Deven Choksey MD KR Choksey Securities,134.067139
2010-10-14,Sonam Udasi Head Treasury IDBI Capital upbeat Union Central,136.860962
2010-12-10,Gupta Equities bullish Punjab recommended buy rating stock target Rs 1500 September 6 2010 resear,123.623825
2010-08-10,Punjab uptrend short term medium term long term It time highs Despite rise negative divergenExit Punjab says Radhika Gupta Director Forefront Capital Management,113.737206
2010-05-10,One book profit Punjab around Rs 13451350 One reenter lower levels keep trailing stop loss arBook partial profits says Ambareesh Baliga Karvy Stock Broking,98.832489
2010-09-30,State India go upto Rs 3400 says Technical Analyst Ashwani Gujral,133.319717
2010-09-29,Punjab test Rs 13601365 says Technical Analyst Ashwani Gujral,133.747543
2010-09-27,Debt ridden steel product maker Ispat Industries main lenders State India IDBI IFCI Punjab ICICI met yesterday decidPunjab upped base rate 8 85 In interview CNBCTV18s Sonia Shenoy chairman KR Kamath spoStateowned Punjab said Thursday October 1 2010 raise base rate 85 8 Its benchmark prime lending rate w,134.16507
2010-09-17,Angel Broking come earning estimates banking sector quarter ended September 2010,132.561981
2010-09-14,Motilal Oswal come earning estimates banking sector quarter ended September 2010In interview CNBCTV18 KR Kamath Chairman Punjab spoke latest happenings company sectorKarvy Stock Broking maintained outperformer rating Punjab target Rs 1562 October 7 2010 research report,129.711456
2010-06-09,Sharekhan come earning estimates banking sector quarter ended September 2010 According research firm Punjab Natio,99.211838
2010-08-18,Punjab said Monday Reserve India issued certificate registration formers nonbanking joint venture JV fi,122.000107
2010-08-13,Hold PSU banks says Prashastha Seth Senior VP IIFL Private WealthBedmutha Industries recently awarded mega project status government Maharashtra tune Rs 30742 crore This part gove,117.42795600000001
2010-09-08,Buy dips says Ambareesh Baliga Karvy Stock Broking,126.721764
2010-07-29,Get dips says Anu Jain IIFL Private Wealth Management,108.933098
2010-07-26,Stateowned Punjab set announce results quarter ended September 2010,107.09803799999999
2010-07-23,Punjab reported net profit Rs 1075 crore compared Rs 927 crore In interview CNBCTV18 KR Kamath Chairman PunStaterun Punjab Ltd find difficult sustain margins current levels Chairman KR Kamath told reporters ThursdPublic sector lender Punjab announced results quarter September 2010 It reported net profit Rs 1075 crore,108.31968700000002
2010-07-22,Hold Punjab Baroda ICICI Shriram Transport says Suresh Mahadevan HeadIndia Research UBS Securities,109.134125
2010-07-21,Punjab good support Rs 1280 says Rahul Mohindar Viratechindia,109.443405
2010-07-14,Motilal Oswal bullish Punjab recommended buy rating stock target Rs 1550 October 28 2010 research,108.536179
2010-10-07,Angel Broking maintained neutral rating Punjab October 29 2010 research report,135.541351
2010-09-07,KRChoksey bullish Punjab recommended buy rating stock target Rs 1542 November 03 2010 research,125.62383999999999
2010-05-07,TS Harihar Karvy Stock Broking bet Punjab BarodaIn exclusive interview CNBCTV18 Vikram Akula Chairman Dilli Raj CFO clarified stance company well capitalised,98.633095
2010-06-30,Accumulate banking stocks current level says Prashastha Seth Senior VP IIFL Private WealthIn interview CNBCTV18 Deepak Parekh Chairman HDFC gave perspective housing loan scamThe Central Bureau Investigation CBI unearthed fake housing scandal runs crores rupees LIC Housing Finance Central I,102.027695
2010-06-29,UBS cut rating Indias LIC Housing Finance sell neutral Thursday day federal police arrested CEO alleged brIn exclusive interview CNBCTV18s Udayan Mukherjee Sonia Shenoy chairman managing director one involved partiesPNB said,101.9888
2010-06-28,Here facts companies allegedly involved bribery scandalBuy banking stocks says Vibhav Kapoor ILFSCore Projects tanked 33 early trade today In interview CNBCTV18 Nikhil Morsawala Director Finance Core Projects Technologies gave,102.159012
