news,Date,Adj Close1,Adj Close
"In an interview with CNBC-TV18, Nagesh Pydah of Punjab National Bank, gave his outlook on the upcoming quarter and the quarter gone by. ...",2010-12-30,125.355797,0
Emkay Global Financial Services has come out with its earning estimates on Banking sector for the quarter ended March 2010. According to the research ...,2010-12-27,124.50528,-0.0067848238
"Punjab National Bank (PNB) has support at Rs 960, says Technical Analyst, Ashwani Gujral....",2010-12-20,124.273315,-0.0018630937
"Kotak Mahindra Bank may slip to Rs 710-711, says Anu Jain of IIFL Private Wealth Management at India Infoline....",2010-12-13,126.531044,0.0181674481
"PNB can head upto Rs 1100, says Technical Analyst, Ashwani Gujral....",2010-08-12,116.871239,-0.0763433597
"Punjab National Bank is to announce its Q4FY10 results. According to CNBC-TV18 estiamates, the company's Q4 NII is seen up 26.07% from Rs 1906.53 cror...",2010-07-12,108.850616,-0.0686278598
State-run IDBI Bank has asked Kingfisher Airlines to repay loans worth Rs 900 crore after the latter failed to stick to its repayment schedule...,2010-11-30,125.62899,0.1541412866
State-run Punjab National Bank said on Wednesday it will buy out the stakes of its joint venture partners in the life insurance and insurance broking ...,2010-11-29,121.252693,-0.0348350886
"Borrowers will not have to wait any longer to know the new base rate of banks. Big public sector banks like the State Bank of India (SBI), Bank of Bar...",2010-11-26,118.706299,-0.0210007212
"Ahead of the Reserve Bank of India�s (RBI) review of monetary policy on 27 July, State Bank of India (SBI) has set base rate at 7.5%, reports CNBC-TV1...",2010-11-25,122.020744,0.0279213911
"After the banks have announced base rates, the worry on the street is how much will it pinch a consumer�s pocket? State bank of India has said that it...",2010-11-24,130.494965,0.0694490193
"PNB has target of Rs 1140-1150, says Rahul Mohindar of Viratechindia....",2010-11-19,132.582611,0.0159979046
"IIFL is bullish on Punjab National Bank and has recommended buy rating on the stock with a target of Rs 1246 in its July 9, 2010 research report....",2010-11-15,137.469208,0.0368569978
"Sharekhan has come out with its earning estimates on banking sector for the quarter ended June 2010. According to the research firm, Punjab National B...",2010-11-11,139.113525,0.0119613477
"Emkay Global Financial Services has recommended accumulate rating on Punjab National Bank with a target of Rs 1100 in its July 22, 2010 research repor...",2010-10-28,135.087753,-0.0289387534
"Motilal Oswal has recommended buy rating on Punjab National Bank with a target of Rs 1225 in its July 23, 2010 research report....#Punjab National Bank (PNB) has target of Rs 1120, says Shailesh Kadam, PINC....",2010-10-27,137.989822,0.0214828431
S.E.Investments Ltd announced that Punjab National Bank has enhanced the Fund Based Limit from Rs 300 million to Rs 450 million and sanctioned Term Lo...,2010-10-25,139.263031,0.0092268327
"Suresh Mahadevan, UBS Securities says, SBI, PNB, BoB and ICICI Bank are top picks....",2010-10-22,137.355789,-0.0136952498
"PNB has a steady uptrend for many months in a row, has been registering positive gains month on month. It has potential to test around Rs 1345 levels ...#Expect 25-30 gains in PNB, says Rajesh Jain, Independent Market Strategist....",2010-10-20,133.65477,-0.0269447617
"Pick Punjab National Bank (PNB), Bank Of Baroda (BoB), Bank Of India within the PSU space, says Deven Choksey, MD, KR Choksey Securities....",2010-10-18,134.067139,0.0030853295
"Sonam Udasi, Head Treasury, IDBI Capital is upbeat on PNB, BOB, Union Bank, Central Bank....",2010-10-14,136.860962,0.0208389843
